浅,42201
坊,42122
承,42048
袋,41987
迫,41930
桜,41892
群,41842
責,41756
届,41735
陰,41734
頬,41606
提,41556
灯,41475
爆,41334
基,41265
絡,41186
疲,41161
屈,41116
盗,41040
練,40680
湯,40674
給,40554
拠,40508
諸,40440
純,40415
陣,40372
究,40360
扉,40254
騎,40213
壊,40201
編,40043
脳,39944
誘,39937
歯,39892
温,39727
額,39619
猫,39501
詩,39375
昭,39317
才,39154
厳,39110
被,39101
借,39041
評,39021
甘,38944
荷,38904
歴,38792
便,38647
抗,38607
幕,38589
句,38536
況,38502
耕,38484
管,38442
統,38363
瀬,38335
営,38234
希,38229
健,38112
値,38105
衆,38063
富,37997
圧,37982
監,37857
恥,37827
推,37787
級,37782
勇,37770
翌,37711
酔,37687
庫,37616
整,37508
価,37458
魚,37363
棒,37306
燃,37133
授,37102
製,37095
善,37082
準,37013
飯,36883
丁,36805
紅,36721
央,36669
悟,36569
至,36533
樹,36504
祭,36333
忍,36308
因,36297
勤,36282
虫,36200
功,36173
互,36086
華,36050
各,36026
劇,35944
材,35876
慣,35698
替,35668
寒,35655
砲,35616
養,35473
除,35422
傾,35398
郷,35324
及,35220
述,35036
冬,35008
順,34840
避,34698
否,34656
筆,34631
充,34611
嬢,34346
賀,34248
録,34166
頂,34160
属,34107
泊,34044
厚,34017
到,33998
奪,33975
栄,33893
裂,33842
幾,33772
区,33704
繰,33693
旦,33658
己,33626
効,33528
膝,33519
沙,33500
辞,33407
魂,33285
浜,33211
汚,33183
曜,33142
仮,33112
操,33096
池,32969
泉,32934
舎,32915
財,32900
威,32862
系,32785
課,32783
謝,32696
欠,32496
僧,32185
裕,32153
致,32127
崩,32104
仏,32071
敬,32057
眉,31981
麗,31942
依,31911
舌,31900
呂,31788
杉,31758
汗,31664
慢,31559
露,31521
誌,31364
導,31277
油,31224
奉,31161
減,31160
康,31072
超,31043
衝,30906
埋,30845
浴,30842
補,30736
裁,30723
瞳,30667
担,30657
更,30529
鋭,30506
緊,30398
脇,30392
婆,30297
呪,30296
専,30278
珍,30242
鮮,30176
策,30113
模,30107
植,30098
隅,30020
協,30007
鍵,29920
宣,29864
挙,29864
港,29736
妖,29718
牛,29693
慮,29673
靴,29639
脚,29615
執,29597
県,29518
幼,29483
炎,29479
匂,29459
尻,29459
展,29437
巡,29287
看,29277
獣,29158
停,29109
易,29090
算,29072
規,29070
懐,29039
臭,29039
封,29016
適,28990
肌,28916
臓,28810
聴,28685
豊,28622
藩,28590
憎,28547
哀,28520
飾,28377
斬,28341
亜,28284
尽,28262
討,28181
尊,28043
柳,27802
禁,27750
雷,27693
含,27659
泥,27624
省,27605
緑,27588
載,27570
略,27535
濃,27521
航,27489
継,27414
机,27306
遣,27276
距,27249
率,27238
悩,27151
候,27138
辛,27120
狙,27095
締,27060
札,27057
獄,26947
籠,26897
勘,26873
烈,26725
斎,26622
換,26574
版,26568
費,26565
祈,26555
孫,26532
謀,26501
芝,26495
測,26476
幻,25904
乳,25904
称,25867
墓,25857
拳,25816
鈴,25633
革,25551
貸,25517
招,25414
灰,25214
占,25151
畳,25115
署,25094
典,25031
浦,25023
障,24998
穂,24979
貧,24972
農,24861
悔,24844
党,24827
又,24682
誠,24597
扱,24580
召,24556
糸,24537
揮,24530
虚,24462
狭,24449
舟,24375
奮,24341
尉,24319
柱,24227
潜,24193
針,24122
雅,24114
了,24072
亀,24061
釈,24060
耐,24020
霧,23957
挨,23939
層,23917
慎,23868
拶,23861
即,23860
般,23844
澄,23794
弓,23678
滝,23662
摩,23653
講,23618
熊,23560
帽,23549
帳,23540
域,23480
凄,23475
塚,23417
拝,23411
築,23316
冗,23292
魅,23214
昇,23183
踊,23174
跳,23134
豪,23129
訴,23102
努,23101
乾,23055
裸,22991
齢,22837
旧,22835
紹,22789
虎,22747
滑,22728
仁,22723
則,22691
喉,22687
湖,22682
銭,22647
豆,22640
督,22633
刊,22548
祝,22542
嫁,22530
律,22485
透,22483
倍,22435
旗,22434
干,22384
徹,22381
浪,22314
叔,22313
覆,22283
氷,22279
亭,22277
誤,22248
猛,22247
企,22164
丘,22139
審,22020
賞,21964
邸,21945
鶴,21879
拾,21860
延,21762
卒,21761
軒,21682
梅,21638
蛇,21628
頑,21622
偶,21562
牧,21560
侍,21491
蹴,21462
暇,21450
羅,21446
垣,21374
刃,21367
添,21355
塔,21321
勉,21244
葬,21238
往,21216
歓,21152
慌,21097
柔,21091
焦,20996
液,20983
創,20910
標,20852
徴,20772
棚,20747
貫,20733
俊,20729
匹,20723
躍,20691
懸,20668
掘,20649
抵,20587
茂,20475
誇,20474
嘆,20443
荘,20419
垂,20399
姓,20330
撮,20307
環,20262
詳,20257
携,20245
揚,20182
双,20157
複,20146
秒,20136
愚,20097
閣,20058
損,19958
咲,19950
綱,19947
援,19917
涼,19900
戒,19859
仙,19841
偵,19773
趣,19764
季,19740
漢,19626
菊,19617
啓,19600
斜,19481
紫,19476
酷,19422
械,19418
皿,19399
拭,19354
畑,19335
著,19270
幹,19225
慶,19220
潮,19216
翼,19196
縮,19168
沼,19165
忙,19136
塗,19134
寸,19106
阪,19068
委,19030
梨,19021
唐,18988
丹,18974
寂,18893
唯,18881
暖,18853
堀,18813
賢,18778
索,18756
請,18753
粉,18750
敏,18666
珠,18640
偉,18622
隙,18578
洞,18567
偽,18564
競,18503
抑,18472
縛,18394
貞,18352
筒,18318
施,18301
須,18263
菜,18203
幽,18136
孤,18095
侵,18065
掌,18050
凝,18005
患,17938
預,17802
殴,17710
紋,17689
訓,17663
庁,17614
淡,17526
奏,17519
掃,17508
恩,17501
腐,17499
縦,17490
賊,17452
惨,17422
穏,17386
副,17381
脅,17368
鎖,17367
袖,17287
稿,17281
哲,17267
暑,17149
隆,17145
卓,17126
貌,17073
惜,17031
飼,17021
益,16998
爪,16975
渋,16929
愉,16923
療,16809
雰,16763
廃,16714
稲,16687
恨,16624
盤,16622
顎,16559
詞,16524
塩,16491
貨,16442
邦,16431
縄,16421
沿,16369
幅,16361
尚,16345
硬,16343
就,16339
伴,16334
寿,16278
繁,16256
蓋,16164
兼,16164
童,16108
拒,16090
漂,16067
随,16010
乙,16003
凍,15906
鶏,15898
壇,15869
逸,15862
剥,15861
唱,15830
拍,15803
免,15774
網,15758
征,15747
釣,15738
曹,15735
叱,15696
没,15675
罰,15668
潰,15653
羊,15640
堅,15586
駐,15575
脈,15574
既,15563
絞,15526
砕,15361
孝,15268
悠,15219
廷,15215
渉,15211
陥,15171
誓,15160
遂,15147
噴,15097
胆,15006
遇,14824
拡,14784
巧,14765
殊,14757
災,14738
謎,14653
症,14628
峰,14627
棄,14607
俗,14601
瓶,14556
僚,14542
癖,14516
彫,14503
湧,14484
